Ibge,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero,ano,referencia,população
420460,0,23,0,64,29,8,0,0,0,0,0,0,2014,201405,204667
420750,0,7,1,0,0,0,0,0,0,0,0,0,2014,201405,61968
420210,8,80,6,259,24,8,3,88,0,0,9,10,2014,201405,25662
421630,0,1,0,3,0,0,0,0,0,0,0,0,2014,201405,31534
420830,14,56,2,122,23,4,4,149,0,0,0,0,2014,201405,55016
421570,21,127,22,291,90,10,10,185,0,0,46,63,2014,201405,21572
420320,0,0,0,2,0,0,0,2,0,0,0,0,2014,201405,72261
420530,0,7,0,19,15,0,0,23,0,0,11,16,2014,201406,10784
421220,2,54,11,94,10,26,0,183,0,3,3,18,2014,201406,18681
420600,0,12,0,0,0,2,2,0,0,0,0,0,2014,201406,13801
420915,0,7,0,10,0,0,0,25,0,0,0,2,2014,201406,4850
420290,7,12,16,65,42,2,0,42,0,5,35,90,2014,201406,119719
420230,9,14,2,0,0,0,0,9,0,0,0,0,2014,201406,63440
421725,0,0,0,9,0,0,0,8,0,0,0,50,2014,201406,5256
420460,0,48,0,153,63,18,0,0,0,0,0,0,2014,201406,204667
421530,0,0,0,0,2,0,2,0,0,0,0,0,2014,201406,7573
420750,0,10,2,0,0,0,0,0,0,0,0,0,2014,201406,61968
420210,29,153,11,343,46,24,6,129,0,2,15,65,2014,201406,25662
421000,2,1,1,6,0,0,0,4,0,1,2,0,2014,201406,11653
421280,1,10,2,19,16,8,2,137,0,0,0,0,2014,201406,19976
421630,24,109,7,277,35,8,6,248,0,0,9,16,2014,201406,31534
421550,0,0,0,0,1,0,0,0,0,0,0,0,2014,201406,16413
420830,7,21,0,46,13,4,2,44,0,0,0,0,2014,201406,55016
421570,24,148,11,407,63,7,6,204,0,1,37,50,2014,201406,21572
420320,0,2,0,1,69,0,0,1,0,0,0,0,2014,201406,72261
420110,0,0,0,0,1,0,0,0,0,0,3,2,2014,201406,3256
420287,0,4,4,50,2,0,0,40,0,0,0,0,2014,201407,2690
421280,1,5,0,13,9,0,0,162,0,0,0,0,2014,201407,19976
420915,0,12,2,22,0,0,0,133,0,0,0,0,2014,201407,4850
