CODIBGE,municipio,REGIAO
420945,LAJEADO GRANDE,Xanxerê
420950,LAURENTINO,Alto Vale do Itajaí
420960,LAURO MULLER,Carbonífera
420970,LEBON REGIS,Alto Vale do Rio do Peixe
420980,LEOBERTO LEAL,Grande Florianópolis
420985,LINDOIA DO SUL,Alto Uruguai Catarinense
420990,LONTRAS,Alto Vale do Itajaí
421000,LUIZ ALVES,Foz do Rio Itajaí
421003,LUZERNA,Meio Oeste
421005,MACIEIRA,Alto Vale do Rio do Peixe
421010,MAFRA,Planalto Norte
421020,MAJOR GERCINO,Grande Florianópolis
421030,MAJOR VIEIRA,Planalto Norte
421040,MARACAJA,Extremo Sul Catarinense
421050,MARAVILHA,Extremo Oeste
421055,MAREMA,Xanxerê
421060,MASSARANDUBA,Nordeste
421070,MATOS COSTA,Alto Vale do Rio do Peixe
421080,MELEIRO,Extremo Sul Catarinense
421085,MIRIM DOCE,Alto Vale do Itajaí
421090,MODELO,Extremo Oeste
421100,MONDAI,Extremo Oeste
421105,MONTE CARLO,Meio Oeste
421110,MONTE CASTELO,Planalto Norte
421120,MORRO DA FUMAÇA,Carbonífera
421125,MORRO GRANDE,Extremo Sul Catarinense
421130,NAVEGANTES,Foz do Rio Itajaí
421140,NOVA ERECHIM,Oeste
421145,NOVA ITABERABA,Oeste
421150,NOVA TRENTO,Grande Florianópolis
421160,NOVA VENEZA,Carbonífera
421165,NOVO HORIZONTE,Xanxerê
421170,ORLEANS,Carbonífera
421175,OTACILIO COSTA,Serra Catarinense
421180,OURO,Meio Oeste
421185,OURO VERDE,Xanxerê
421187,PAIAL,Oeste
421189,PAINEL,Serra Catarinense
421190,PALHOÇA,Grande Florianópolis
421200,PALMA SOLA,Extremo Oeste
421205,PALMEIRA,Serra Catarinense
421210,PALMITOS,Oeste
421220,PAPANDUVA,Planalto Norte
421223,PARAISO,Extremo Oeste
421225,PASSO DE TORRES,Extremo Sul Catarinense
421227,PASSOS MAIA,Xanxerê
421230,PAULO LOPES,Grande Florianópolis
421240,PEDRAS GRANDES,Laguna
421250,PENHA,Foz do Rio Itajaí
421260,PERITIBA,Alto Uruguai Catarinense
421265,PESCARIA BRAVA,Laguna
421270,PETROLANDIA,Alto Vale do Itajaí
421290,PINHALZINHO,Oeste
421300,PINHEIRO PRETO,Alto Vale do Rio do Peixe
421310,PIRATUBA,Alto Uruguai Catarinense
421315,PLANALTO ALEGRE,Oeste
421320,POMERODE,Médio Vale do Itajaí
421330,PONTE ALTA,Serra Catarinense
421335,PONTE ALTA DO NORTE,Alto Vale do Rio do Peixe
421340,PONTE SERRADA,Xanxerê
421350,PORTO BELO,Foz do Rio Itajaí
421360,PORTO UNIAO,Planalto Norte
421370,POUSO REDONDO,Alto Vale do Itajaí
421380,PRAIA GRANDE,Extremo Sul Catarinense
421390,PRESIDENTE CASTELLO BRANCO,Alto Uruguai Catarinense
421400,PRESIDENTE GETULIO,Alto Vale do Itajaí
421410,PRESIDENTE NEREU,Alto Vale do Itajaí
421415,PRINCESA,Extremo Oeste
421420,QUILOMBO,Oeste
421430,RANCHO QUEIMADO,Grande Florianópolis
421440,RIO DAS ANTAS,Alto Vale do Rio do Peixe
421450,RIO DO CAMPO,Alto Vale do Itajaí
421460,RIO DO OESTE,Alto Vale do Itajaí
421480,RIO DO SUL,Alto Vale do Itajaí
421470,RIO DOS CEDROS,Médio Vale do Itajaí
421490,RIO FORTUNA,Laguna
421500,RIO NEGRINHO,Planalto Norte
421505,RIO RUFINO,Serra Catarinense
421507,RIQUEZA,Oeste
421510,RODEIO,Médio Vale do Itajaí
421520,ROMELANDIA,Extremo Oeste
421530,SALETE,Alto Vale do Itajaí
421535,SALTINHO,Extremo Oeste
421540,SALTO VELOSO,Alto Vale do Rio do Peixe
421545,SANGAO,Laguna
421550,SANTA CECILIA,Alto Vale do Rio do Peixe
421555,SANTA HELENA,Extremo Oeste
421560,SANTA ROSA DE LIMA,Laguna
421565,SANTA ROSA DO SUL,Extremo Sul Catarinense
421567,SANTA TEREZINHA,Alto Vale do Itajaí
421568,SANTA TEREZINHA DO PROGRESSO,Extremo Oeste
421569,SANTIAGO DO SUL,Oeste
421570,SANTO AMARO DA IMPERATRIZ,Grande Florianópolis
421580,SAO BENTO DO SUL,Planalto Norte
421575,SAO BERNARDINO,Xanxerê
421590,SAO BONIFACIO,Grande Florianópolis
421600,SAO CARLOS,Oeste
421605,SAO CRISTOVAO DO SUL,Alto Vale do Rio do Peixe
421610,SAO DOMINGOS,Xanxerê
421620,SAO FRANCISCO DO SUL,Nordeste
421630,SAO JOAO BATISTA,Grande Florianópolis
421635,SAO JOAO DO ITAPERIU,Nordeste
421625,SAO JOAO DO OESTE,Extremo Oeste
421640,SAO JOAO DO SUL,Extremo Sul Catarinense
421650,SAO JOAQUIM,Serra Catarinense
421660,SAO JOSE,Grande Florianópolis
421670,SAO JOSE DO CEDRO,Extremo Oeste
421680,SAO JOSE DO CERRITO,Serra Catarinense
421690,SAO LOURENÇO DO OESTE,Xanxerê
421700,SAO LUDGERO,Laguna
421710,SAO MARTINHO,Laguna
421715,SAO MIGUEL DA BOA VISTA,Extremo Oeste
421720,SAO MIGUEL DO OESTE,Extremo Oeste
421725,SAO PEDRO DE ALCANTARA,Grande Florianópolis
421730,SAUDADES,Extremo Oeste
421740,SCHROEDER,Nordeste
421750,SEARA,Alto Uruguai Catarinense
421755,SERRA ALTA,Oeste
421760,SIDEROPOLIS,Carbonífera
421770,SOMBRIO,Extremo Sul Catarinense
421775,SUL BRASIL,Oeste
421780,TAIO,Alto Vale do Itajaí
421790,TANGARA,Alto Vale do Rio do Peixe
421795,TIGRINHOS,Extremo Oeste
421800,TIJUCAS,Grande Florianópolis
421810,TIMBE DO SUL,Extremo Sul Catarinense
421820,TIMBO,Médio Vale do Itajaí
421825,TIMBO GRANDE,Alto Vale do Rio do Peixe
421830,TRES BARRAS,Planalto Norte
421835,TREVISO,Carbonífera
421840,TREZE DE MAIO,Laguna
421850,TREZE TILIAS,Meio Oeste
421860,TROMBUDO CENTRAL,Alto Vale do Itajaí
421870,TUBARAO,Laguna
421875,TUNAPOLIS,Extremo Oeste
421880,TURVO,Extremo Sul Catarinense
421885,UNIAO DO OESTE,Oeste
421890,URUBICI,Serra Catarinense
421895,URUPEMA,Serra Catarinense
421900,URUSSANGA,Carbonífera
421910,VARGEAO,Xanxerê
421915,VARGEM,Meio Oeste
421917,VARGEM BONITA,Meio Oeste
421920,VIDAL RAMOS,Alto Vale do Itajaí
421930,VIDEIRA,Alto Vale do Rio do Peixe
421935,VITOR MEIRELES,Alto Vale do Itajaí
421940,WITMARSUM,Alto Vale do Itajaí
421950,XANXERE,Xanxerê
421960,XAVANTINA,Alto Uruguai Catarinense
421970,XAXIM,Xanxerê
421985,ZORTEA,Meio Oeste
